0,0,0.56078
0.12941,0,0.58824
0.27059,0,0.61961
0.42353,0,0.64706
0.59216,0,0.67451
0.70588,0,0.63529
0.73333,0,0.50196
0.76078,0,0.35686
0.78824,0,0.19608
0.81961,0,0.023529
0.84706,0.16078,0
0.81176,0.27451,0
0.77647,0.38039,0
0.73725,0.47451,0
0.70196,0.55686,0
0.66667,0.62745,0
0.56863,0.63137,0
0.44706,0.59216,0
0.33725,0.55686,0
0.23529,0.52157,0
0.1451,0.48627,0
0.066667,0.44706,0
0,0.41176,0
0.031373,0.43529,0
0.066667,0.4549,0
0.10588,0.47843,0
0.14902,0.49804,0
0.19216,0.52157,0
0.23922,0.54118,0
0.29412,0.56471,0
0.34902,0.58431,0
0.40392,0.60784,0
0.46667,0.63137,0
0.52941,0.65098,0
0.6,0.67451,0
0.67059,0.69412,0
0.71765,0.6902,0
0.73725,0.6549,0
0.76078,0.61961,0
0.78039,0.58039,0
0.80392,0.53725,0
0.82745,0.4902,0
0.84706,0.43922,0
0.87059,0.38824,0
0.8902,0.32941,0
0.91373,0.27059,0
0.93333,0.20784,0
0.95686,0.14118,0
0.97647,0.070588,0
1,0,0
0.96471,0,0
0.92941,0,0
0.89412,0,0
0.85882,0,0
0.82353,0,0
0.78824,0,0
0.75294,0,0
0.71373,0,0
0.67843,0,0
0.64314,0,0
0.60784,0,0
0.57255,0,0
0.53725,0,0
0.50196,0,0
